candidate_id,profile,label
TRAIN_001,"Candidate Profile: poor detail oriented, weak teamwork, outstanding technical skills, poor adaptability, weak willing to learn",NOT HIRE
TRAIN_002,"Candidate Profile: weak quick learner, weak leadership, outstanding technical skills, good detail oriented, strong willing to learn",HIRE
TRAIN_003,"Candidate Profile: reliable communication, good detail oriented, lacking willing to learn, reliable problem solving, strong adaptability",HIRE
TRAIN_004,"Candidate Profile: lacking willing to learn, excellent problem solving, strong critical thinking, good quick learner, inconsistent task prioritization",HIRE
TRAIN_005,"Candidate Profile: inconsistent leadership, inconsistent quick learner, strong critical thinking, strong adaptability, excellent task prioritization",HIRE
TRAIN_006,"Candidate Profile: inconsistent communication, excellent quick learner, outstanding adaptability, poor technical skills, good problem solving",HIRE
TRAIN_007,"Candidate Profile: lacking quick learner, strong critical thinking, strong problem solving, strong willing to learn, weak creativity",HIRE
TRAIN_008,"Candidate Profile: weak leadership, good task prioritization, strong problem solving, poor communication, lacking quick learner",HIRE
TRAIN_009,"Candidate Profile: lacking adaptability, inconsistent technical skills, inconsistent quick learner, strong detail oriented, reliable willing to learn",HIRE
TRAIN_010,"Candidate Profile: bad communication, excellent detail oriented, excellent critical thinking, lacking task prioritization, poor adaptability",HIRE
TRAIN_011,"Candidate Profile: poor adaptability, outstanding willing to learn, good technical skills, good quick learner, strong teamwork",HIRE
TRAIN_012,"Candidate Profile: outstanding quick learner, weak willing to learn, poor task prioritization, weak problem solving, outstanding creativity",NOT HIRE
TRAIN_013,"Candidate Profile: outstanding leadership, poor critical thinking, excellent quick learner, outstanding adaptability, reliable technical skills",HIRE
TRAIN_014,"Candidate Profile: weak technical skills, reliable creativity, inconsistent problem solving, good leadership, good task prioritization",NOT HIRE
TRAIN_015,"Candidate Profile: inconsistent quick learner, reliable willing to learn, good technical skills, outstanding detail oriented, excellent communication",HIRE
TRAIN_016,"Candidate Profile: bad teamwork, bad leadership, poor problem solving, strong technical skills, weak communication",HIRE
TRAIN_017,"Candidate Profile: good creativity, outstanding teamwork, outstanding problem solving, bad leadership, strong adaptability",HIRE
TRAIN_018,"Candidate Profile: good detail oriented, good critical thinking, good problem solving, outstanding task prioritization, bad teamwork",NOT HIRE
TRAIN_019,"Candidate Profile: outstanding leadership, inconsistent communication, lacking creativity, bad critical thinking, bad technical skills",NOT HIRE
TRAIN_020,"Candidate Profile: inconsistent leadership, good adaptability, excellent problem solving, reliable task prioritization, lacking detail oriented",HIRE
TRAIN_021,"Candidate Profile: weak leadership, good willing to learn, good quick learner, inconsistent teamwork, poor communication",NOT HIRE
TRAIN_022,"Candidate Profile: poor communication, excellent leadership, poor technical skills, inconsistent task prioritization, excellent quick learner",HIRE
TRAIN_023,"Candidate Profile: good creativity, inconsistent teamwork, lacking task prioritization, good critical thinking, excellent communication",HIRE
TRAIN_024,"Candidate Profile: inconsistent communication, lacking teamwork, poor willing to learn, bad detail oriented, strong critical thinking",HIRE
TRAIN_025,"Candidate Profile: poor problem solving, reliable leadership, weak communication, strong task prioritization, good quick learner",HIRE
TRAIN_026,"Candidate Profile: reliable detail oriented, good communication, strong creativity, outstanding critical thinking, good adaptability",HIRE
TRAIN_027,"Candidate Profile: outstanding critical thinking, lacking leadership, inconsistent teamwork, good communication, lacking quick learner",NOT HIRE
TRAIN_028,"Candidate Profile: good critical thinking, excellent creativity, bad communication, weak teamwork, inconsistent problem solving",HIRE
TRAIN_029,"Candidate Profile: weak quick learner, excellent task prioritization, weak communication, poor teamwork, poor technical skills",HIRE
TRAIN_030,"Candidate Profile: excellent creativity, outstanding leadership, weak willing to learn, excellent task prioritization, strong critical thinking",HIRE
TRAIN_031,"Candidate Profile: poor teamwork, bad adaptability, reliable task prioritization, bad creativity, poor problem solving",NOT HIRE
TRAIN_032,"Candidate Profile: bad technical skills, good willing to learn, reliable teamwork, poor detail oriented, outstanding critical thinking",NOT HIRE
TRAIN_033,"Candidate Profile: excellent technical skills, lacking willing to learn, outstanding leadership, lacking adaptability, lacking communication",HIRE
TRAIN_034,"Candidate Profile: outstanding critical thinking, good adaptability, inconsistent task prioritization, strong technical skills, excellent problem solving",HIRE
TRAIN_035,"Candidate Profile: excellent technical skills, bad critical thinking, excellent problem solving, inconsistent willing to learn, lacking creativity",HIRE
TRAIN_036,"Candidate Profile: reliable willing to learn, weak detail oriented, lacking adaptability, weak communication, excellent task prioritization",HIRE
TRAIN_037,"Candidate Profile: good quick learner, strong problem solving, excellent adaptability, weak willing to learn, bad teamwork",HIRE
TRAIN_038,"Candidate Profile: outstanding quick learner, reliable leadership, bad critical thinking, good task prioritization, poor technical skills",NOT HIRE
TRAIN_039,"Candidate Profile: excellent teamwork, outstanding task prioritization, weak detail oriented, inconsistent technical skills, weak willing to learn",HIRE
TRAIN_040,"Candidate Profile: weak task prioritization, bad problem solving, strong technical skills, strong adaptability, outstanding creativity",HIRE
TRAIN_041,"Candidate Profile: reliable critical thinking, lacking leadership, lacking creativity, outstanding task prioritization, poor adaptability",NOT HIRE
TRAIN_042,"Candidate Profile: lacking critical thinking, excellent task prioritization, poor creativity, weak detail oriented, reliable leadership",HIRE
TRAIN_043,"Candidate Profile: bad willing to learn, outstanding task prioritization, bad leadership, poor adaptability, inconsistent communication",NOT HIRE
TRAIN_044,"Candidate Profile: excellent task prioritization, poor detail oriented, inconsistent creativity, bad problem solving, good willing to learn",HIRE
TRAIN_045,"Candidate Profile: good adaptability, good communication, lacking willing to learn, excellent leadership, strong teamwork",HIRE
TRAIN_046,"Candidate Profile: inconsistent critical thinking, reliable quick learner, lacking technical skills, strong detail oriented, outstanding teamwork",HIRE
TRAIN_047,"Candidate Profile: poor communication, lacking willing to learn, good leadership, inconsistent creativity, bad task prioritization",NOT HIRE
TRAIN_048,"Candidate Profile: strong communication, bad quick learner, excellent teamwork, excellent problem solving, reliable willing to learn",HIRE
TRAIN_049,"Candidate Profile: weak critical thinking, bad leadership, bad willing to learn, weak detail oriented, bad teamwork",NOT HIRE
TRAIN_050,"Candidate Profile: good detail oriented, strong communication, reliable critical thinking, bad willing to learn, outstanding task prioritization",HIRE
TRAIN_051,"Candidate Profile: good problem solving, excellent quick learner, inconsistent creativity, weak critical thinking, reliable task prioritization",HIRE
TRAIN_052,"Candidate Profile: inconsistent task prioritization, reliable leadership, excellent technical skills, good detail oriented, inconsistent quick learner",HIRE
TRAIN_053,"Candidate Profile: weak communication, strong problem solving, lacking willing to learn, outstanding quick learner, poor creativity",HIRE
TRAIN_054,"Candidate Profile: strong task prioritization, outstanding creativity, poor adaptability, lacking technical skills, bad quick learner",HIRE
TRAIN_055,"Candidate Profile: inconsistent leadership, reliable quick learner, excellent teamwork, strong detail oriented, outstanding technical skills",HIRE
TRAIN_056,"Candidate Profile: excellent creativity, strong technical skills, weak task prioritization, outstanding quick learner, poor critical thinking",HIRE
TRAIN_057,"Candidate Profile: strong communication, reliable detail oriented, strong teamwork, bad creativity, lacking adaptability",HIRE
TRAIN_058,"Candidate Profile: good critical thinking, lacking quick learner, lacking communication, lacking adaptability, excellent leadership",HIRE
TRAIN_059,"Candidate Profile: reliable detail oriented, inconsistent technical skills, bad adaptability, lacking problem solving, inconsistent creativity",NOT HIRE
TRAIN_060,"Candidate Profile: bad problem solving, inconsistent critical thinking, inconsistent task prioritization, poor detail oriented, poor creativity",NOT HIRE
TRAIN_061,"Candidate Profile: poor willing to learn, reliable technical skills, bad leadership, excellent task prioritization, outstanding problem solving",HIRE
TRAIN_062,"Candidate Profile: inconsistent leadership, poor creativity, outstanding problem solving, excellent willing to learn, good technical skills",HIRE
TRAIN_063,"Candidate Profile: bad leadership, good problem solving, weak detail oriented, outstanding creativity, lacking task prioritization",NOT HIRE
TRAIN_064,"Candidate Profile: lacking quick learner, good willing to learn, poor critical thinking, outstanding task prioritization, reliable adaptability",NOT HIRE
TRAIN_065,"Candidate Profile: poor willing to learn, outstanding creativity, reliable detail oriented, reliable quick learner, poor communication",NOT HIRE
TRAIN_066,"Candidate Profile: poor detail oriented, good task prioritization, poor technical skills, outstanding communication, outstanding teamwork",NOT HIRE
TRAIN_067,"Candidate Profile: good task prioritization, bad problem solving, poor quick learner, inconsistent communication, good willing to learn",NOT HIRE
TRAIN_068,"Candidate Profile: bad quick learner, lacking detail oriented, strong task prioritization, strong willing to learn, excellent creativity",HIRE
TRAIN_069,"Candidate Profile: good technical skills, outstanding teamwork, good willing to learn, lacking task prioritization, bad quick learner",NOT HIRE
TRAIN_070,"Candidate Profile: inconsistent willing to learn, poor creativity, strong detail oriented, inconsistent critical thinking, outstanding adaptability",HIRE
TRAIN_071,"Candidate Profile: poor detail oriented, strong task prioritization, outstanding quick learner, excellent leadership, strong communication",HIRE
TRAIN_072,"Candidate Profile: outstanding teamwork, reliable leadership, poor detail oriented, bad problem solving, inconsistent willing to learn",NOT HIRE
TRAIN_073,"Candidate Profile: inconsistent teamwork, lacking communication, outstanding adaptability, lacking critical thinking, weak problem solving",NOT HIRE
TRAIN_074,"Candidate Profile: outstanding task prioritization, inconsistent problem solving, strong teamwork, outstanding willing to learn, outstanding adaptability",HIRE
TRAIN_075,"Candidate Profile: bad detail oriented, inconsistent critical thinking, excellent adaptability, outstanding communication, lacking teamwork",HIRE
TRAIN_076,"Candidate Profile: reliable communication, poor critical thinking, weak task prioritization, good quick learner, strong willing to learn",HIRE
TRAIN_077,"Candidate Profile: reliable communication, reliable quick learner, reliable technical skills, weak detail oriented, outstanding adaptability",NOT HIRE
TRAIN_078,"Candidate Profile: weak creativity, poor leadership, outstanding technical skills, poor adaptability, bad teamwork",NOT HIRE
TRAIN_079,"Candidate Profile: good creativity, good detail oriented, reliable technical skills, inconsistent critical thinking, strong task prioritization",HIRE
TRAIN_080,"Candidate Profile: outstanding leadership, excellent teamwork, inconsistent communication, poor quick learner, reliable task prioritization",HIRE
TRAIN_081,"Candidate Profile: excellent creativity, reliable adaptability, bad quick learner, inconsistent teamwork, reliable leadership",HIRE
TRAIN_082,"Candidate Profile: bad detail oriented, strong leadership, poor task prioritization, bad willing to learn, weak adaptability",HIRE
TRAIN_083,"Candidate Profile: outstanding task prioritization, strong technical skills, inconsistent communication, reliable creativity, inconsistent willing to learn",HIRE
TRAIN_084,"Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking",HIRE
TRAIN_085,"Candidate Profile: outstanding teamwork, outstanding adaptability, poor leadership, lacking critical thinking, good willing to learn",NOT HIRE
TRAIN_086,"Candidate Profile: good critical thinking, reliable leadership, strong communication, lacking teamwork, poor task prioritization",HIRE
TRAIN_087,"Candidate Profile: poor adaptability, good critical thinking, poor quick learner, weak problem solving, reliable creativity",NOT HIRE
TRAIN_088,"Candidate Profile: lacking adaptability, excellent communication, poor willing to learn, outstanding technical skills, poor task prioritization",HIRE
TRAIN_089,"Candidate Profile: excellent quick learner, weak creativity, excellent leadership, poor communication, poor detail oriented",HIRE
TRAIN_090,"Candidate Profile: poor quick learner, excellent problem solving, excellent teamwork, good leadership, excellent detail oriented",HIRE
TRAIN_091,"Candidate Profile: weak adaptability, bad quick learner, good problem solving, lacking teamwork, lacking technical skills",NOT HIRE
TRAIN_092,"Candidate Profile: reliable creativity, poor detail oriented, strong quick learner, reliable problem solving, inconsistent leadership",HIRE
TRAIN_093,"Candidate Profile: good willing to learn, inconsistent critical thinking, excellent quick learner, weak task prioritization, weak communication",HIRE
TRAIN_094,"Candidate Profile: good critical thinking, reliable leadership, poor adaptability, weak teamwork, poor task prioritization",NOT HIRE
TRAIN_095,"Candidate Profile: weak teamwork, outstanding communication, inconsistent task prioritization, strong adaptability, weak problem solving",HIRE
TRAIN_096,"Candidate Profile: good adaptability, poor quick learner, bad task prioritization, poor teamwork, weak problem solving",NOT HIRE
TRAIN_097,"Candidate Profile: outstanding creativity, poor quick learner, poor critical thinking, bad problem solving, bad leadership",NOT HIRE
TRAIN_098,"Candidate Profile: good task prioritization, inconsistent teamwork, bad critical thinking, reliable willing to learn, outstanding adaptability",NOT HIRE
TRAIN_099,"Candidate Profile: good willing to learn, lacking creativity, strong technical skills, reliable communication, lacking quick learner",HIRE
TRAIN_100,"Candidate Profile: inconsistent communication, poor detail oriented, lacking teamwork, reliable task prioritization, excellent adaptability",HIRE
TRAIN_101,"Candidate Profile: inconsistent leadership, bad problem solving, lacking communication, weak detail oriented, reliable task prioritization",NOT HIRE
TRAIN_102,"Candidate Profile: inconsistent detail oriented, bad teamwork, lacking task prioritization, strong adaptability, poor creativity",HIRE
TRAIN_103,"Candidate Profile: weak willing to learn, lacking leadership, outstanding adaptability, excellent problem solving, reliable teamwork",HIRE
TRAIN_104,"Candidate Profile: good leadership, inconsistent technical skills, lacking willing to learn, good quick learner, reliable adaptability",NOT HIRE
TRAIN_105,"Candidate Profile: bad problem solving, poor detail oriented, bad critical thinking, reliable willing to learn, strong communication",HIRE
TRAIN_106,"Candidate Profile: reliable critical thinking, lacking detail oriented, reliable technical skills, weak leadership, outstanding communication",NOT HIRE
TRAIN_107,"Candidate Profile: lacking detail oriented, good quick learner, reliable teamwork, outstanding technical skills, reliable problem solving",NOT HIRE
TRAIN_108,"Candidate Profile: poor willing to learn, reliable creativity, excellent task prioritization, good technical skills, strong detail oriented",HIRE
TRAIN_109,"Candidate Profile: strong leadership, outstanding creativity, outstanding communication, good problem solving, good willing to learn",HIRE
TRAIN_110,"Candidate Profile: inconsistent quick learner, excellent willing to learn, excellent creativity, weak detail oriented, reliable technical skills",HIRE
TRAIN_111,"Candidate Profile: excellent adaptability, good problem solving, lacking teamwork, bad quick learner, outstanding communication",HIRE
TRAIN_112,"Candidate Profile: weak willing to learn, excellent communication, good adaptability, strong task prioritization, bad quick learner",HIRE
TRAIN_113,"Candidate Profile: bad quick learner, lacking problem solving, lacking detail oriented, inconsistent creativity, good willing to learn",NOT HIRE
TRAIN_114,"Candidate Profile: bad adaptability, reliable communication, bad quick learner, strong technical skills, lacking leadership",HIRE
TRAIN_115,"Candidate Profile: lacking critical thinking, lacking detail oriented, poor willing to learn, poor technical skills, weak task prioritization",NOT HIRE
TRAIN_116,"Candidate Profile: good teamwork, excellent communication, reliable quick learner, inconsistent problem solving, outstanding detail oriented",HIRE
TRAIN_117,"Candidate Profile: reliable quick learner, strong willing to learn, excellent detail oriented, poor task prioritization, lacking communication",HIRE
TRAIN_118,"Candidate Profile: weak teamwork, inconsistent creativity, bad adaptability, inconsistent critical thinking, excellent willing to learn",HIRE
TRAIN_119,"Candidate Profile: inconsistent adaptability, bad technical skills, excellent task prioritization, outstanding communication, lacking quick learner",HIRE
TRAIN_120,"Candidate Profile: good creativity, bad quick learner, lacking willing to learn, good communication, poor teamwork",NOT HIRE
TRAIN_121,"Candidate Profile: weak quick learner, weak communication, inconsistent teamwork, weak critical thinking, bad creativity",NOT HIRE
TRAIN_122,"Candidate Profile: outstanding communication, weak creativity, bad technical skills, excellent problem solving, excellent detail oriented",HIRE
TRAIN_123,"Candidate Profile: excellent communication, outstanding task prioritization, bad leadership, poor problem solving, bad teamwork",HIRE
TRAIN_124,"Candidate Profile: inconsistent technical skills, reliable critical thinking, outstanding communication, weak task prioritization, outstanding quick learner",NOT HIRE
TRAIN_125,"Candidate Profile: inconsistent leadership, excellent detail oriented, poor willing to learn, poor critical thinking, good adaptability",HIRE
TRAIN_126,"Candidate Profile: strong creativity, inconsistent technical skills, bad quick learner, good task prioritization, inconsistent teamwork",HIRE
TRAIN_127,"Candidate Profile: inconsistent teamwork, strong technical skills, strong adaptability, excellent problem solving, good critical thinking",HIRE
TRAIN_128,"Candidate Profile: poor adaptability, outstanding problem solving, bad willing to learn, outstanding quick learner, weak detail oriented",NOT HIRE
TRAIN_129,"Candidate Profile: inconsistent critical thinking, weak creativity, poor willing to learn, inconsistent technical skills, poor leadership",NOT HIRE
TRAIN_130,"Candidate Profile: lacking communication, bad willing to learn, good leadership, reliable critical thinking, inconsistent teamwork",NOT HIRE
TRAIN_131,"Candidate Profile: good willing to learn, bad detail oriented, reliable technical skills, lacking communication, poor critical thinking",NOT HIRE
TRAIN_132,"Candidate Profile: poor problem solving, reliable leadership, lacking creativity, reliable willing to learn, excellent teamwork",HIRE
TRAIN_133,"Candidate Profile: weak problem solving, good adaptability, reliable task prioritization, bad willing to learn, strong quick learner",HIRE
TRAIN_134,"Candidate Profile: excellent leadership, poor critical thinking, good willing to learn, good detail oriented, strong task prioritization",HIRE
TRAIN_135,"Candidate Profile: bad task prioritization, strong leadership, outstanding communication, outstanding technical skills, outstanding creativity",HIRE
TRAIN_136,"Candidate Profile: excellent creativity, lacking critical thinking, good communication, poor adaptability, strong task prioritization",HIRE
TRAIN_137,"Candidate Profile: weak detail oriented, outstanding teamwork, poor communication, reliable willing to learn, inconsistent task prioritization",NOT HIRE
TRAIN_138,"Candidate Profile: inconsistent technical skills, lacking detail oriented, inconsistent problem solving, outstanding communication, poor quick learner",NOT HIRE
TRAIN_139,"Candidate Profile: poor creativity, lacking quick learner, poor detail oriented, lacking task prioritization, outstanding communication",NOT HIRE
TRAIN_140,"Candidate Profile: bad creativity, outstanding quick learner, good adaptability, bad communication, poor detail oriented",NOT HIRE
TRAIN_141,"Candidate Profile: poor detail oriented, lacking problem solving, bad quick learner, reliable technical skills, reliable willing to learn",NOT HIRE
TRAIN_142,"Candidate Profile: inconsistent teamwork, good communication, reliable creativity, excellent quick learner, inconsistent critical thinking",HIRE
TRAIN_143,"Candidate Profile: lacking willing to learn, inconsistent teamwork, good quick learner, bad task prioritization, inconsistent detail oriented",NOT HIRE
TRAIN_144,"Candidate Profile: reliable willing to learn, reliable critical thinking, inconsistent task prioritization, strong leadership, poor quick learner",HIRE
TRAIN_145,"Candidate Profile: excellent technical skills, good detail oriented, lacking adaptability, weak critical thinking, outstanding task prioritization",HIRE
TRAIN_146,"Candidate Profile: bad willing to learn, weak creativity, weak problem solving, good adaptability, strong technical skills",HIRE
TRAIN_147,"Candidate Profile: weak task prioritization, strong detail oriented, reliable teamwork, bad leadership, weak communication",HIRE
TRAIN_148,"Candidate Profile: bad communication, inconsistent creativity, inconsistent problem solving, good technical skills, weak task prioritization",NOT HIRE
TRAIN_149,"Candidate Profile: lacking quick learner, poor critical thinking, inconsistent technical skills, strong problem solving, good detail oriented",HIRE
TRAIN_150,"Candidate Profile: good technical skills, strong creativity, strong critical thinking, lacking teamwork, good detail oriented",HIRE
TRAIN_151,"Candidate Profile: outstanding adaptability, inconsistent detail oriented, good critical thinking, inconsistent quick learner, excellent problem solving",HIRE
TRAIN_152,"Candidate Profile: weak task prioritization, lacking creativity, weak problem solving, outstanding leadership, strong critical thinking",HIRE
TRAIN_153,"Candidate Profile: excellent detail oriented, bad problem solving, good adaptability, reliable critical thinking, excellent communication",HIRE
TRAIN_154,"Candidate Profile: strong problem solving, excellent detail oriented, poor adaptability, lacking technical skills, inconsistent creativity",HIRE
TRAIN_155,"Candidate Profile: bad critical thinking, inconsistent communication, poor teamwork, excellent task prioritization, bad leadership",HIRE
TRAIN_156,"Candidate Profile: outstanding communication, bad critical thinking, poor problem solving, reliable creativity, good adaptability",NOT HIRE
TRAIN_157,"Candidate Profile: bad leadership, outstanding task prioritization, good critical thinking, strong quick learner, outstanding adaptability",HIRE
TRAIN_158,"Candidate Profile: strong teamwork, poor quick learner, strong creativity, weak communication, excellent adaptability",HIRE
TRAIN_159,"Candidate Profile: outstanding teamwork, outstanding technical skills, inconsistent adaptability, good quick learner, excellent leadership",HIRE
TRAIN_160,"Candidate Profile: poor leadership, inconsistent willing to learn, poor task prioritization, inconsistent teamwork, lacking problem solving",NOT HIRE
TRAIN_161,"Candidate Profile: poor critical thinking, weak creativity, good detail oriented, poor teamwork, reliable technical skills",NOT HIRE
TRAIN_162,"Candidate Profile: strong critical thinking, lacking teamwork, strong leadership, weak problem solving, excellent detail oriented",HIRE
TRAIN_163,"Candidate Profile: excellent leadership, inconsistent technical skills, poor communication, outstanding teamwork, excellent creativity",HIRE
TRAIN_164,"Candidate Profile: poor technical skills, lacking detail oriented, inconsistent willing to learn, weak problem solving, poor creativity",NOT HIRE
TRAIN_165,"Candidate Profile: good technical skills, inconsistent adaptability, bad creativity, bad detail oriented, bad communication",NOT HIRE
TRAIN_166,"Candidate Profile: poor teamwork, poor detail oriented, reliable critical thinking, good problem solving, lacking leadership",NOT HIRE
